commune,id,nom,adresse,ien,niveau,descriptif,page,ENS.CL.MA_nbV,ENS.CL.ELE_nbV,T.R.S._nbV,ENS.CL.MA_nbSV,ENS.CL.ELE_nbSV,T.R.S._nbSV
TOULOUSE,*0312110A*REP,E.E.PU JULES FERRY,109 AVENUE DE FRONTON TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 1 TOULOUSE LES 2 RIVEI,E.E.PU,;2804 MAITRE SUP MSUP SANS SPEC.100 %           1.00,23,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312273C*,E.E.PU JULES JULIEN,11 AVENUE DES ECOLES JULES JUL TOULOUSE Midi-Pyrenees France,IEN:,E.E.PU,;1535 DECH DIR    DCOM SANS SPEC.100 %          1.00,23,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312292Y*,E.E.PU LAKANAL,17 PLACE DE LA DAURADE TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 4 TOULOUSE PONT NEUF,E.E.PU,;1537 DECH DIR    DCOM SANS SPEC.100 %  1.00;2816 MAITRE SUP MSUP SANS SPEC.100 %           1.00 Cycle 3 en lien,24,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310921H*RP+,E.E.PU LALANDE,239 AVENUE DE FRONTON TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 5 TOULOUSE NORD,E.E.PU,;2790 MAITRE SUP MSUP SANS SPEC.100 %           1.00,24,NA,NA,NA,NA,NA,NA
TOULOUSE,*0311089R*,E.E.PU LAPUJADE,26 ROUTE D'ALBI TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 5 TOULOUSE NORD,E.E.PU,;2756 ENS.IT.SPE ITIN PRIMO ARRI100 %           1.00,24,NA,NA,NA,NA,NA,NA
TOULOUSE,*0311328A*,CLG    LES CHALETS,71 RUE DES CHALETS TOULOUSE Midi-Pyrenees France,IEN:,CLG,;2974 ULIS        UPI OPTION D 100 %    1.00,24,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310947L*,ITEP   LES ORMES,128 ROUTE DE SAINT-SIMON TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 21 TLSE ASH2,ITEP,;1496 CORPED      CPUE OPTION D 100 %           1.00,24,NA,NA,NA,NA,NA,NA
TOULOUSE,*0311823N*,IME    LES TROÈNES,31 RUE DE CLAUSADE TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 21 TLSE ASH2,IME,;1498 CORPED      CPUE OPTION D 100 %           1.00;2826 PER 2DEGRE P2DG OPTION F 100 %            1.00,24,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312028L*REP,E.E.PU LES VERGERS,2 IMPASSE DES VERGERS TOULOUSE Midi-Pyrenees France,IEN:IEN HG 24 POLITIQUE DE LA VILLE ET EDUCI,E.E.PU,;2800 MAITRE SUP MSUP SANS SPEC.100 %   1.00,24,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312155Z*REP,E.E.PU LITTRÉ,2 PLACE PAUL BERTIER TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 3 TOULOUSE RIVE GAUCHI,E.E.PU,;2807 MAITRE SUP MSUP SANS SPEC.100 %           1.00,25,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310050L*,SEP    LPO JOSEPH GALLIENI,79 ROUTE D ESPAGNE TOULOUSE Midi-Pyrenees France,IEN:,SEP,;2962 ULIS        UPI OPTION D 100 %            1.00,25,NA,NA,NA,NA,NA,NA
TOULOUSE,*0310960A*REP,E.E.PU LÉO LAGRANGE,39 ALLEE HENRI SELLIER TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 19 GARONNE - PRE-ELEMI,E.E.PU,;2791 MAITRE SUP MSUP SANS SPEC.100 %           1.00,25,NA,NA,NA,NA,NA,NA
TOULOUSE,*0311016L*RP+,E.E.PU MARCEL PAGNOL,7 RUE ERNEST DUFER TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 4 TOULOUSE PONT NEUF,E.E.PU,;2794 MAITRE SUP MSUP SANS SPEC.100 %           1.00,25,NA,NA,NA,NA,NA,NA
TOULOUSE,*0311584D*,CLG    MARENGO,25 RUE FREDERIC PETIT TOULOUSE Midi-Pyrenees France,IEN:,CLG,;2980 ULIS        UPI OPTION D 100 %    1.00,25,NA,NA,NA,NA,NA,NA
TOULOUSE,*0312427V*REP,E.E.PU MARIE ET PIERRE CURIE,3 RUE BAPTISTE MARCET TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 1 TOULOUSE LES 2 RIVEI,E.E.PU,;1540 DECH DIR    DCOM SANS SPEC.100 %  1.00;2822 MAITRE SUP MSUP SANS SPEC.100 %   1.00,25,NA,NA,NA,NA,NA,NA
TOULOUSE,*0311025W*,E.E.A. MAURICE BÉCANNE,85 AVENUE DE MURET TOULOUSE Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 19 GARONNE - PRE-ELEMI,E.E.A.,;1519 DECH DIR    DCOM SANS SPEC.100 %          1.00,25,NA,NA,NA,NA,NA,NA
