commune,id,nom,adresse,ien,niveau,descriptif,page,ENS.CL.MA_nbV,ENS.CL.ELE_nbV,T.R.S._nbV,ENS.CL.MA_nbSV,ENS.CL.ELE_nbSV,T.R.S._nbSV
COLOMIERS,*0312539S*,E.E.PU ALAIN SAVARY,16 ALLEE DU MORBIHAN COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.E.PU,;468 DIR.EC.ELE 0119 15 CLASSES100 %            1.00;1087 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1299 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1433 CLIS.1.MEN CHME OPTION D 100 %             1.00;1972 ENS.CL.ELE ECEL SANS SPEC.100 %    3.00    8.00;2186 ENS.CL.ELE ECEL ANGLAIS     100 %          2.00,69,NA,NA,NA,NA,2,NA
COLOMIERS,*0312407Y*,E.M.PU ALAIN SAVARY,14 ALLEE DU MORBIHAN COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;774 DIR.EC.MAT 0121 7 CLASSES 100 %            1.00;2602 ENS.CL.MA ECMA SANS SPEC.100 %             6.00,69,NA,NA,NA,6,NA,NA
COLOMIERS,*0311326Y*,SEGPA CLG VOLTAIRE,81 ALLEE DU COMMINGES COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 21 TLSE ASH2,SEGPA,;2735 E1D SEGPA ISES OPTION F 100 %      1.00    3.00,69,NA,NA,NA,NA,NA,NA
COLOMIERS,*0311780S*,E.M.PU EN JACCA,2 ALLEE DU MARCADAU COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;608 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;2504 ENS.CL.MA ECMA SANS SPEC.100 %             3.00,69,NA,NA,NA,3,NA,NA
COLOMIERS,*0312888W*,E.E.PU GEORGE SAND,ALLEE DE LA COLOMBE COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.E.PU,;470 DIR.EC.ELE 0119 15 CLASSES100 %            1.00;1320 TIT.R.BRIG 2585 SANS SPEC.100 %    1.00 REMP EN FC + MALADIE;2009 ENS.CL.ELE ECEL SANS SPEC.100 %    3.00   11.00;10001 PSY.RESEAU PSYR SANS SPEC.100 %    1.00,69,NA,3,NA,NA,11,NA
COLOMIERS,*0312869A*,E.M.PU GEORGE SAND,ALLEE DE LA COLOMBE COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;779 DIR.EC.MAT 0121 7 CLASSES 100 %            1.00;849 REMP.ST.FC 2557 SANS SPEC.100 %            1.00;2653 ENS.CL.MA ECMA SANS SPEC.100 %             6.00,69,NA,NA,NA,6,NA,15
COLOMIERS,*0312141J*,IEN    HAUTE GARONNE 17 COLOMI,PLACE JOSEPH VERSEILLE COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,IEN,;1454 CP.ADJ.IEN CPC SANS SPEC.100 %              1.00;1480 CP.EPS       CPEP SANS SPEC.100 %   1.00,70,NA,NA,NA,NA,NA,NA
COLOMIERS,*0310432B*,E.E.PU HÉLÈNE BOUCHER,10 CHEMIN DES CARRIERES COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.E.PU,;456 DIR.EC.ELE 0119 15 CLASSES100 %             1.00;899 TIT.R.ZIL 2584 SANS SPEC.100 %              1.00;1133 TIT.R.BRIG 2585 SANS SPEC.100 %             1.00;1633 ENS.CL.ELE ECEL SANS SPEC.100 %            12.00;2040 ENS.CL.ELE ECEL ANGLAIS     100 %           1.00;2714 UPEA         IEEL PRIMO ARRI100 %   1.00,70,NA,NA,NA,NA,1,NA
COLOMIERS,*0311781T*,E.M.PU HÉLÈNE BOUCHER,2 RUE DU CHATEAU D'EAU COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;737 DIR.EC.MAT 0121 6 CLASSES 100 %             1.00;2505 ENS.CL.MA ECMA SANS SPEC.100 %              5.00,70,NA,NA,NA,5,NA,NA
COLOMIERS,*0310171T*,E.M.PU JEAN MACÉ,6 SQUARE FRANCOIS LAHILLE COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;746 DIR.EC.MAT 0121 7 CLASSES 100 %             1.00;2251 ENS.CL.MA ECMA SANS SPEC.100 %              6.00 1 Dispositif,70,NA,NA,NA,6,NA,NA
COLOMIERS,*0310430Z*,E.E.PU JULES FERRY,8 ALLEE DES FENASSIERS COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.E.PU,;472 DIR.EC.ELE 0119 16 CLASSES100 %             1.00;898 TIT.R.ZIL 2584 SANS SPEC.100 %              1.00;1132 TIT.R.BRIG 2585 SANS SPEC.100 %             1.00;1632 ENS.CL.ELE ECEL SANS SPEC.100 %            13.00;2039 ENS.CL.ELE ECEL ANGLAIS     100 %           1.00;2238 ENS.CL.ELE ECEL PORTUGAIS 100 %             1.00,70,NA,NA,NA,NA,1,1
COLOMIERS,*0310170S*,E.M.PU JULES FERRY,2 CHEMIN DE SAULT COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;710 DIR.EC.MAT 0121 6 CLASSES 100 %            1.00;2250 ENS.CL.MA ECMA SANS SPEC.100 %     1.00    4.00,71,1,NA,NA,4,NA,NA
COLOMIERS,*0312541U*,E.E.PU LAMARTINE,8 ALLEE DE LA TERRASSE COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.E.PU,;483 DIR.EC.ELE 0119 17 CLASSES100 %            1.00;1088 TIT.R.ZIL 2584 SANS SPEC.100 %     1.00    1.00;1434 CLIS.1.MEN CHME OPTION D 100 %             1.00;1578 ENS.APP.EL EAPL APPLICAT 100 %     2.00;1973 ENS.CL.ELE ECEL SANS SPEC.100 %           13.00;2905 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,71,NA,NA,NA,NA,13,NA
COLOMIERS,*0311694Y*,E.M.PU LAMARTINE,ALLEE DE LA SAVOIE COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;679 DIR.EC.MAT 0121 5 CLASSES 100 %            1.00;1226 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;2477 ENS.CL.MA ECMA SANS SPEC.100 %     1.00    3.00,71,1,NA,NA,3,NA,NA
COLOMIERS,*0312553G*,E.E.PU LUCIE AUBRAC,1 ALLEE GEORGES BRASSENS COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.E.PU,;477 DIR.EC.ELE 0119 16 CLASSES100 %            1.00;1090 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1975 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00   14.00;2018 ENS.CL.ELE ECEL CL EXP LAN100 %            1.00 Bilangue Allemand;2781 MA.G.RES     MGR OPTION G 100 %            1.00;2906 PSY.RESEAU PSYR SANS SPEC.100 %    1.00;2951 REG.ADAP     RGA OPTION E 100 %            1.00,71,NA,NA,NA,NA,1,NA
COLOMIERS,*0311297S*,E.M.PU LUCIE AUBRAC,1 ALLEE GEORGES BRASSENS COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;784 DIR.EC.MAT 0121 8 CLASSES 100 %            1.00;1203 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;2416 ENS.CL.MA ECMA SANS SPEC.100 %             7.00,71,NA,NA,NA,7,NA,NA
COLOMIERS,*0311554W*,E.M.PU MARIE CURIE,ALLEE DE L'ARMAGNAC COLOMIERS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;592 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;2438 ENS.CL.MA ECMA SANS SPEC.100 %             3.00,72,NA,NA,NA,3,NA,NA
CORNEBARRIEU,*0310434D*,E.E.PU LES AMBRITS,26 CHEMIN DES AMBRITS CORNEBARRIEU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,E.E.PU,;169 DIR.EC.ELE 0119 5 CLASSES 100 %            1.00;1635 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    3.00,72,NA,1,NA,NA,3,NA
CORNEBARRIEU,*0311387P*,E.M.PU LES AMBRITS,28 CHEMIN DES AMBRITS CORNEBARRIEU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,E.M.PU,;668 DIR.EC.MAT 0121 5 CLASSES 100 %            1.00;2422 ENS.CL.MA ECMA SANS SPEC.100 %     1.00    3.00,72,1,NA,NA,3,NA,NA
CORNEBARRIEU,*0310433C*,E.E.PU LES MONGES,4 AVENUE HENRI GUILLAUMET CORNEBARRIEU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,E.E.PU,;168 DIR.EC.ELE 0119 5 CLASSES 100 %            1.00;1634 ENS.CL.ELE ECEL SANS SPEC.100 %            4.00,72,NA,NA,NA,NA,4,NA
CORNEBARRIEU,*0312521X*,E.E.PU SAINT-EXUPÉRY,3 ALLEE JEAN MONNET CORNEBARRIEU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,E.E.PU,;205 DIR.EC.ELE 0119 5 CLASSES 100 %            1.00;1298 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1971 ENS.CL.ELE ECEL SANS SPEC.100 %            3.00;2185 ENS.CL.ELE ECEL ANGLAIS      100 %         1.00,72,NA,NA,NA,NA,1,NA
CORNEBARRIEU,*0312459E*,E.M.PU SAINT-EXUPÉRY,3 ALLEE JEAN MONNET CORNEBARRIEU Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,E.M.PU,;637 DIR.EC.MAT 0121 4 CLASSES 100 %            1.00;2609 ENS.CL.MA ECMA SANS SPEC.100 %             3.00;2903 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,72,NA,NA,NA,3,NA,NA
CORRONSAC,*0310435E*,E.E.PU VICTOR SEGOFFIN,CHEMIN DE SEGUEILLA CORRONSAC Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 9 VILLEFRANCHE DE LAUI,E.E.PU,;137 DIR.EC.ELE 0119 4 CLASSES 100 %            1.00;1636 ENS.CL.ELE ECEL SANS SPEC.100 %            2.00;2041 ENS.CL.ELE ECEL ANGLAIS      100 %         1.00,73,NA,NA,NA,NA,1,10
COURET,*0310439J*,E.P.PU,VILLAGE COURET Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.P.PU,;50 DIR.EC.ELE 0119 2 CLASSES 100 %   1.00;1637 ENS.CL.ELE ECEL SANS SPEC.100 %            1.00,73,NA,NA,NA,NA,1,NA
COX,*0310440K*,E.P.PU,1 RUE DES METIERS COX Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 26 LÉGUEVIN,E.P.PU,;138 DIR.EC.ELE 0119 4 CLASSES 100 %            1.00;1134 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1638 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00;2334 ENS.CL.MA ECMA SANS SPEC.100 %             2.00,73,NA,1,NA,2,NA,NA
CUGNAUX,*0312709B*,E.E.PU CHRISTIAN BLANC,12 RUE SUZANNE LACORE CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;394 DIR.EC.ELE 0119 11 CLASSES100 %    1.00;1095 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1988 ENS.CL.ELE ECEL SANS SPEC.100 %            7.00;2192 ENS.CL.ELE ECEL ANGLAIS      100 %         3.00,73,NA,NA,NA,NA,3,NA
CUGNAUX,*0312683Y*,E.M.PU CHRISTIAN BLANC,12 RUE SUZANNE LACORE CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;777 DIR.EC.MAT 0121 7 CLASSES 100 %            1.00;2634 ENS.CL.MA ECMA SANS SPEC.100 %             6.00,73,NA,NA,NA,6,NA,NA
CUGNAUX,*0311317N*,E.E.PU EUGÈNE MONTEL,LIEU-DIT LE VIVIER CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;443 DIR.EC.ELE 0119 14 CLASSES100 %            1.00;1204 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1393 CLIS.1.MEN CHME OPTION D 100 %             1.00;1831 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    8.00,73,NA,1,NA,NA,8,NA
CUGNAUX,*0311317N*,E.E.PU EUGÈNE MONTEL,LIEU-DIT LE VIVIER CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;2114 ENS.CL.ELE ECEL ANGLAIS     100 %          3.00;2859 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,74,NA,NA,NA,NA,3,NA
CUGNAUX,*0312158C*,E.M.PU EUGÈNE MONTEL,SQUARE SAINT-EXUPERY CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;793 DIR.EC.MAT 0121 8 CLASSES 100 %            1.00;1050 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;2575 ENS.CL.MA ECMA SANS SPEC.100 %     1.00    6.00,74,1,NA,NA,6,NA,NA
CUGNAUX,*0310442M*,E.E.PU JEAN JAURÈS,7 AVENUE DE TOULOUSE CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;370 DIR.EC.ELE 0119 11 CLASSES100 %            1.00;900 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1640 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00    9.00,74,NA,1,NA,NA,9,NA
CUGNAUX,*0310172U*,E.M.PU JEAN JAURÈS,IMPASSE DES ECOLES CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;711 DIR.EC.MAT 0121 6 CLASSES 100 %    1.00;2252 ENS.CL.MA ECMA SANS SPEC.100 %     1.00    4.00,74,1,NA,2,4,NA,10
CUGNAUX,*0310441L*,E.E.PU LÉON BLUM,2 RUE VINCENT AURIOL CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.E.PU,;345 DIR.EC.ELE 0119 10 CLASSES100 %            1.00;1135 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1639 ENS.CL.ELE ECEL SANS SPEC.100 %            9.00,74,NA,NA,NA,NA,9,NA
CUGNAUX,*0311707M*,E.M.PU LÉON BLUM,RUE VINCENT AURIOL CUGNAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 14 PORTET SUR GARONNEI,E.M.PU,;681 DIR.EC.MAT 0121 5 CLASSES 100 %            1.00;2486 ENS.CL.MA ECMA SANS SPEC.100 %             4.00,74,NA,NA,NA,4,NA,NA
DAUX,*0310445R*,E.E.PU,CHEMIN DE MIRANDE DAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.E.PU,;213 DIR.EC.ELE 0119 6 CLASSES 100 %           1.00;1136 TIT.R.BRIG 2585 SANS SPEC.100 %           1.00;1641 ENS.CL.ELE ECEL SANS SPEC.100 %           3.00;2042 ENS.CL.ELE ECEL ANGLAIS     100 %         2.00,75,NA,NA,NA,NA,NA,NA
DAUX,*0312025H*,E.M.PU,CHEMIN DE MIRANDE DAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 17 COLOMIERS,E.M.PU,;619 DIR.EC.MAT 0121 4 CLASSES 100 %           1.00;2546 ENS.CL.MA ECMA SANS SPEC.100 %            3.00,75,NA,NA,NA,3,NA,NA
DEYME,*0310446S*,E.E.PU ROGER ANDRÉ DELUC,9 ROUTE DE POMPERTUZAT DEYME Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 9 VILLEFRANCHE DE LAUI,E.E.PU,;98 DIR.EC.ELE 0119 3 CLASSES 100 %           1.00;1642 ENS.CL.ELE ECEL SANS SPEC.100 %           1.00;2043 ENS.CL.ELE ECEL ANGLAIS     100 %         1.00,75,NA,NA,NA,NA,NA,NA
DONNEVILLE,*0310447T*,E.P.PU,CHEMIN DU RUISSEAU DE FONTBAZI DONNEVILLE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 9 VILLEFRANCHE DE LAUI,E.P.PU,;139 DIR.EC.ELE 0119 4 CLASSES 100 %           1.00;1643 ENS.CL.ELE ECEL SANS SPEC.100 %   1.00    1.00;2335 ENS.CL.MA ECMA SANS SPEC.100 %            1.00,75,NA,NA,NA,1,NA,10
DREMIL LAFAGE,*0310448U*,E.E.PU ANDRÉ DUPERRIN,AVENUE ANDRE DUPERRIN DREMIL LAFAGE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 7 ROUFFIAC-TOLOSAN,E.E.PU,;238 DIR.EC.ELE 0119 7 CLASSES 100 %   1.00;1137 TIT.R.BRIG 2585 SANS SPEC.100 %           1.00;1644 ENS.CL.ELE ECEL SANS SPEC.100 %           6.00,75,NA,NA,NA,NA,NA,NA
DREMIL LAFAGE,*0312005L*,E.M.PU MAURICE PETITCOLIN,1 RUE JULES FERRY DREMIL LAFAGE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 7 ROUFFIAC-TOLOSAN,E.M.PU,;617 DIR.EC.MAT 0121 4 CLASSES 100 %           1.00;2543 ENS.CL.MA ECMA SANS SPEC.100 %            3.00,75,NA,NA,NA,3,NA,NA
EAUNES,*0310450W*,E.E.PU JEAN DARGASSIÈS,35 PLACE DU BICENTENAIRE EAUNES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.E.PU,;473 DIR.EC.ELE 0119 16 CLASSES100 %            1.00;901 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1645 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00   12.00;2044 ENS.CL.ELE ECEL ANGLAIS      100 %         2.00,76,NA,NA,NA,NA,2,NA
EAUNES,*0311715W*,E.M.PU JEAN DARGASSIÈS,CHEMIN DE LA MAIRIE EAUNES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.M.PU,;792 DIR.EC.MAT 0121 8 CLASSES 100 %            1.00;2489 ENS.CL.MA ECMA SANS SPEC.100 %             7.00,76,NA,NA,NA,7,NA,NA
EMPEAUX,*0310451X*,E.M.PU,VILLAGE EMPEAUX Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 15 FONSORBES,E.M.PU,;505 DIR.EC.MAT 0121 2 CLASSES 100 %            1.00;2336 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,76,NA,NA,NA,1,NA,NA
ENCAUSSE LES THERMES,*0310452Y*,E.E.PU,RUE GARRAHOUERE ENCAUSSE LES THERMES Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.E.PU,;51 DIR.EC.ELE 0119 2 CLASSES 100 %           1.00;1646 ENS.CL.ELE ECEL SANS SPEC.100 %            1.00,76,NA,NA,NA,NA,1,NA
ENCAUSSE LES THERMES,*0311787Z*,E.M.PU LES OISILLONS,LIEU-DIT PADEHAN ENCAUSSE LES THERMES Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.M.PU,;512 DIR.EC.MAT 0121 2 CLASSES 100 %            1.00;2507 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,76,NA,NA,NA,1,NA,NA
ESCALQUENS,*0310454A*,E.E.PU MARCEL PAGNOL,CHEMIN DES ECOLES ESCALQUENS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 10 CASTANET-TOLO,E.E.PU,;457 DIR.EC.ELE 0119 15 CLASSES100 %            1.00;902 TIT.R.ZIL 2584 SANS SPEC.100 %     1.00;1647 ENS.CL.ELE ECEL SANS SPEC.100 %           12.00;2045 ENS.CL.ELE ECEL ANGLAIS      100 %         2.00,76,NA,NA,NA,NA,2,NA
ESCALQUENS,*0311608E*,E.M.PU MARCEL PAGNOL,PLACE FRANCOIS MITTERRAND ESCALQUENS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 10 CASTANET-TOLO,E.M.PU,;760 DIR.EC.MAT 0121 7 CLASSES 100 %            1.00;2448 ENS.CL.MA ECMA SANS SPEC.100 %             6.00;2772 MA.G.RES     MGR OPTION G 100 %            1.00;2861 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,77,NA,NA,NA,6,NA,NA
ESPERCE,*0310458E*,E.E.PU,VILLAGE ESPERCE Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 11 MURET,E.E.PU,;13 DIR.EC.ELE 0119 1 CLASSE 100 %             1.00,77,NA,NA,NA,NA,NA,NA
ESTADENS,*0310460G*,E.E.PU LE PLAN,QUARTIER DU PLAN ESTADENS Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.E.PU,;14 DIR.EC.ELE 0119 1 CLASSE 100 %             1.00,77,NA,NA,NA,NA,NA,13
ESTANCARBON,*0310461H*,E.P.PU,VILLAGE ESTANCARBON Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 13 ST GAUDENS,E.P.PU,;99 DIR.EC.ELE 0119 3 CLASSES 100 %    1.00;2046 ENS.CL.ELE ECEL ANGLAIS     100 %          1.00;2337 ENS.CL.MA ECMA SANS SPEC.100 %             1.00,77,NA,NA,NA,1,1,NA
FENOUILLET,*0310469S*,E.E.PU JEAN MONNET,RUE DE LA LAQUE FENOUILLET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,E.E.PU,;439 DIR.EC.ELE 0119 14 CLASSES100 %            1.00;903 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1648 ENS.CL.ELE ECEL SANS SPEC.100 %            9.00;2047 ENS.CL.ELE ECEL ANGLAIS     100 %          2.00;2214 ENS.CL.ELE ECEL ESPAGNOL 100 %             2.00;2836 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,77,NA,NA,NA,NA,2,NA
FENOUILLET,*0311556Y*,E.M.PU LE RAMIER,RUE DE LA POSTE FENOUILLET Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 18 BLAGNAC,E.M.PU,;786 DIR.EC.MAT 0121 8 CLASSES 100 %            1.00;2439 ENS.CL.MA ECMA SANS SPEC.100 %             7.00,77,NA,NA,NA,7,NA,NA
FIGAROL,*0310470T*,E.E.PU,VILLAGE FIGAROL Midi-Pyrenees France,IEN:IEN HAUTE-GARONNE 25 HAUT COMMINGES,E.E.PU,;15 DIR.EC.ELE 0119 1 CLASSE 100 %             1.00,78,NA,NA,NA,NA,NA,NA
FLOURENS,*0310471U*,E.E.PU,RUE DES ECOLES FLOURENS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 7 ROUFFIAC-TOLOSAN,E.E.PU,;170 DIR.EC.ELE 0119 5 CLASSES 100 %            1.00;1138 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1649 ENS.CL.ELE ECEL SANS SPEC.100 %            4.00,78,NA,NA,NA,NA,4,NA
FLOURENS,*0312104U*,E.M.PU,RUE DES ECOLES FLOURENS Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 7 ROUFFIAC-TOLOSAN,E.M.PU,;559 DIR.EC.MAT 0121 3 CLASSES 100 %            1.00;2563 ENS.CL.MA ECMA SANS SPEC.100 %             2.00,78,NA,NA,NA,2,NA,NA
FONBEAUZARD,*0311711S*,E.E.PU BUISSONNIÈRE,12 RUE BUISSONNIERE FONBEAUZARD Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 6 CASTELGINEST,E.E.PU,;304 DIR.EC.ELE 0119 8 CLASSES 100 %            1.00;1012 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1400 CLIS.1.MEN CHME OPTION D 100 %     1.00;1866 ENS.CL.ELE ECEL SANS SPEC.100 %            6.00,78,NA,NA,NA,NA,6,NA
FONBEAUZARD,*0311792E*,E.M.PU BUISSONNIÈRE,RUE BUISSONNERE FONBEAUZARD Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 6 CASTELGINEST,E.M.PU,;688 DIR.EC.MAT 0121 5 CLASSES 100 %            1.00;2512 ENS.CL.MA ECMA SANS SPEC.100 %             4.00,78,NA,NA,NA,4,NA,3
FONSORBES,*0312454Z*,E.E.PU CANTELAUZE,CHEMIN DE CANTELAUZE FONSORBES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 15 FONSORBES,E.E.PU,;364 DIR.EC.ELE 0119 10 CLASSES100 %            1.00;1294 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00;1960 ENS.CL.ELE ECEL SANS SPEC.100 %            9.00,78,NA,NA,NA,NA,9,NA
FONSORBES,*0312456B*,E.M.PU CANTELAUZE,CHEMIN DE CANTELAUZE FONSORBES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 15 FONSORBES,E.M.PU,;704 DIR.EC.MAT 0121 5 CLASSES 100 %            1.00;2608 ENS.CL.MA ECMA SANS SPEC.100 %             4.00,79,NA,NA,NA,4,NA,NA
FONSORBES,*0312628N*,IEN    HAUTE GARONNE 15 FONSOR,5 SQUARE DE L'ARIEGE FONSORBES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 15 FONSORBES,IEN,;1458 CP.ADJ.IEN CPC SANS SPEC.100 %     1.00;1483 CP.EPS       CPEP SANS SPEC.100 %          1.00,79,NA,NA,NA,NA,NA,NA
FONSORBES,*0312321E*,E.E.PU LA BÉOUZO,285 CHEMIN DE LA BEOUZO FONSORBES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 15 FONSORBES,E.E.PU,;449 DIR.EC.ELE 0119 14 CLASSES100 %            1.00;839 REMP.ST.FC 2557 SANS SPEC.100 %            1.00;1071 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1288 TIT.R.BRIG 2585 SANS SPEC.100 %            1.00 REMP EN FC + MALADIE;1425 CLIS.1.MEN CHME OPTION D 100 %     1.00;1944 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00   10.00;2170 ENS.CL.ELE ECEL ANGLAIS      100 %         1.00,79,NA,NA,NA,NA,1,NA
FONSORBES,*0312317A*,E.M.PU LA BÉOUZO,CHEMIN DE LA BEOUZO FONSORBES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 15 FONSORBES,E.M.PU,;741 DIR.EC.MAT 0121 6 CLASSES 100 %            1.00;2594 ENS.CL.MA ECMA SANS SPEC.100 %             5.00,79,NA,NA,NA,5,NA,NA
FONSORBES,*0310473W*,E.E.PU LE TRÉPADE,PLACE DU TREPADE FONSORBES Midi-Pyrenees France,IEN:IEN HAUTE GARONNE 15 FONSORBES,E.E.PU,;440 DIR.EC.ELE 0119 14 CLASSES100 %            1.00;904 TIT.R.ZIL 2584 SANS SPEC.100 %             1.00;1650 ENS.CL.ELE ECEL SANS SPEC.100 %    1.00   12.00;2837 PSY.RESEAU PSYR SANS SPEC.100 %            1.00,79,NA,1,NA,NA,12,NA
